County_State,Number_Insured,NInsured_CI_LowerBound,NInsured_CI_UpperBound,Number_Uninsured,NUninsured_CI_LowerBound,NUninsured_CI_UpperBound,Population,Insured_rate,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,State,Regions,Insured_rate_EqWidth,Ave_Payment_EqWidth,Pop_EqWidth
"morehouse, la",17869.5,17514.0,18225.0,3763.0,3407.5,4118.5,21632.5,0.8265711060180594,14666.0,16396.5,18220.0,la,southeast,Very_Low,Very_Cheap,Very_Small
"morgan, al",83664.5,82394.5,84934.5,15357.5,14087.5,16627.5,99022.0,0.8450141574830778,17735.25,18876.0,20022.0,al,southeast,Low,Moderate,Medium
"morgan, co",19604.0,19240.0,19968.0,3908.0,3544.0,4272.0,23512.0,0.8340825966361233,15485.583333333334,17474.083333333336,19599.166666666664,co,west,Low,Cheap,Very_Small
"morgan, ga",11992.5,11771.0,12214.0,2603.0,2381.5,2824.5,14595.5,0.8216398479583932,14219.0,16956.0,19618.0,ga,southeast,Very_Low,Cheap,Very_Small
"morgan, il",24150.0,23921.0,24379.0,2119.0,1890.0,2348.0,26269.0,0.9196379343937273,15464.666666666666,16502.333333333332,17610.0,il,midwest,High,Very_Cheap,Very_Small
"morgan, in",51667.5,51034.5,52300.5,7057.5,6424.5,7690.5,58725.0,0.87996763860508,15877.333333333334,17070.0,18361.666666666668,in,midwest,Fair,Cheap,Small
"morgan, ky",8320.5,8187.0,8454.0,1329.0,1195.5,1462.5,9649.5,0.8628845575773032,14490.0,16340.0,18214.0,ky,southeast,Low,Very_Cheap,Very_Small
"morgan, wv",11776.0,11578.0,11974.0,2005.0,1807.0,2203.0,13781.0,0.8550554970885296,13893.0,16394.0,18846.0,wv,southeast,Low,Very_Cheap,Very_Small
"morrill, ne",3385.5,3328.0,3443.0,555.5,498.0,613.0,3941.0,0.8591971221166806,11679.0,14293.0,16969.0,ne,midwest,Low,Very_Cheap,Very_Small
"morris, ks",3730.0,3669.0,3791.0,597.5,536.5,658.5,4327.5,0.862497119764287,14842.5,17280.5,19879.5,ks,midwest,Low,Cheap,Very_Small
"morrison, mn",24622.5,24409.5,24835.5,2231.0,2018.0,2444.0,26853.5,0.9171035297505938,16738.0,18764.0,20817.5,mn,midwest,High,Moderate,Very_Small
"morrow, oh",26230.0,25934.0,26526.0,3066.0,2770.0,3362.0,29296.0,0.8955071945743935,14810.0,17560.0,20367.0,oh,midwest,Fair,Cheap,Very_Small
"morton, ks",2089.0,2049.0,2129.0,402.0,362.0,442.0,2491.0,0.839229444943938,11240.0,12944.0,14769.5,ks,midwest,Low,Very_Cheap,Very_Small
"muhlenberg, ky",21053.5,20741.0,21366.0,3213.0,2900.5,3525.5,24266.5,0.8678476875271176,15113.666666666666,16894.333333333332,18851.666666666668,ky,southeast,Fair,Cheap,Very_Small
"murray, ga",26566.0,25962.5,27169.5,7509.5,6906.0,8113.0,34075.5,0.7797687384654566,13741.5,15874.0,18139.5,ga,southeast,Very_Low,Very_Cheap,Very_Small
"murray, mn",5913.0,5859.0,5967.0,491.5,437.5,545.5,6404.5,0.9235330222901696,14246.0,16669.0,19283.0,mn,midwest,High,Very_Cheap,Very_Small
"murray, ok",8975.5,8796.0,9155.0,2026.0,1846.5,2205.5,11001.5,0.8157677707387598,15815.0,18068.0,20626.5,ok,southwest,Very_Low,Cheap,Very_Small
"muscatine, ia",33002.5,32685.0,33320.0,3050.0,2732.5,3367.5,36052.5,0.915452453555847,14557.5,16265.0,18012.0,ia,midwest,High,Very_Cheap,Very_Small
"muskegon, mi",127621.0,126387.0,128855.0,13726.0,12492.0,14960.0,141347.0,0.9030587859643063,18263.0,19644.25,21124.75,mi,midwest,High,Moderate,Large
"muskingum, oh",63115.5,62445.0,63786.0,7399.5,6729.0,8070.0,70515.0,0.8951850517790214,18213.0,19151.75,20127.0,oh,midwest,Fair,Moderate,Small
"muskogee, ok",43911.0,43076.0,44746.0,11540.5,10705.5,12375.5,55451.5,0.7921456404715368,20468.75,21806.25,23223.25,ok,southwest,Very_Low,Expensive,Small
"musselshell, mt",2861.0,2793.0,2929.0,716.5,648.5,784.5,3577.5,0.8007684189955051,14159.0,17027.0,19913.0,mt,west,Very_Low,Cheap,Very_Small
"nacogdoches, tx",39830.0,38879.0,40781.0,12363.0,11412.0,13314.0,52193.0,0.7631570336726146,19135.625,21101.75,23208.875,tx,southwest,Very_Low,Expensive,Small
"nantucket, ma",8666.0,8597.5,8734.5,486.5,418.0,555.0,9152.5,0.9465839152571269,11821.0,13781.0,15965.0,ma,northeast,Very_High,Very_Cheap,Very_Small
"napa, ca",99217.5,98028.5,100406.5,14923.0,13734.0,16112.0,114140.5,0.8691167920463421,17366.375,18680.25,20085.125,ca,west,Fair,Moderate,Large
"nash, nc",65796.0,64796.0,66796.0,11680.5,10680.5,12680.5,77476.5,0.8495850579509685,18664.25,19669.5,20701.25,nc,southeast,Low,Moderate,Medium
"nassau, fl",52406.0,51623.0,53189.0,9016.5,8233.5,9799.5,61422.5,0.852976661280674,17073.0,18942.333333333332,21094.0,fl,southeast,Low,Moderate,Small
"natchitoches, la",25956.5,25451.5,26461.5,5322.0,4817.0,5827.0,31278.5,0.8299625664613124,19524.75,21506.75,23695.25,la,southeast,Low,Expensive,Very_Small
"natrona, wy",59765.5,58941.5,60589.5,10066.0,9242.0,10890.0,69831.5,0.8558206818928389,20018.875,21186.125,22422.25,wy,west,Low,Expensive,Small
"navajo, az",72109.5,70858.0,73361.0,16507.5,15256.0,17759.0,88617.0,0.8139113253238492,13037.375,14996.3125,16962.875,az,southwest,Very_Low,Very_Cheap,Medium
"navarro, tx",30059.0,29392.5,30725.5,9957.5,9291.0,10624.0,40016.5,0.751204641094638,16906.0,18374.333333333332,19971.333333333332,tx,southwest,Very_Low,Cheap,Small
"nelson, ky",34117.5,33699.5,34535.5,4339.0,3921.0,4757.0,38456.5,0.8871388029936202,18369.0,20166.25,22114.25,ky,southeast,Fair,Moderate,Very_Small
"nemaha, ks",7328.0,7245.0,7411.0,780.0,697.0,863.0,8108.0,0.9037238333809334,15622.5,18495.0,21230.0,ks,midwest,High,Cheap,Very_Small
"nemaha, ne",4816.0,4756.0,4876.0,533.5,473.5,593.5,5349.5,0.9005390341640771,13078.0,15277.0,17601.0,ne,midwest,Fair,Very_Cheap,Very_Small
"neosho, ks",11459.5,11299.5,11619.5,1549.5,1389.5,1709.5,13009.0,0.8811047341074909,14598.0,15949.5,17422.0,ks,midwest,Fair,Very_Cheap,Very_Small
"neshoba, ms",19829.0,19396.5,20261.5,5169.0,4736.5,5601.5,24998.0,0.79335626511151,13680.0,15363.75,17056.0,ms,southeast,Very_Low,Very_Cheap,Very_Small
"ness, ks",1961.5,1928.0,1995.0,337.0,303.5,370.5,2298.5,0.8536432360592051,13855.0,16175.0,18524.0,ks,midwest,Low,Very_Cheap,Very_Small
"nevada, ca",65315.5,64454.0,66177.0,9597.5,8736.0,10459.0,74913.0,0.8722989189450459,16004.75,17457.916666666668,19036.875,ca,west,Fair,Cheap,Small
"new madrid, mo",12668.5,12458.0,12879.0,2193.5,1983.0,2404.0,14862.0,0.8525721604997665,17500.0,19109.25,20904.5,mo,midwest,Low,Moderate,Very_Small
"newaygo, mi",34767.5,34368.0,35167.0,4357.5,3958.0,4757.0,39125.0,0.888949210992342,16112.666666666666,17992.0,20050.333333333332,mi,midwest,Fair,Cheap,Small
"newberry, sc",24846.0,24393.0,25299.0,5159.5,4706.5,5612.5,30005.5,0.8280841917721795,16145.333333333334,17537.0,19018.333333333332,sc,southeast,Very_Low,Cheap,Very_Small
"newport news city, va",133637.0,131930.0,135344.0,19799.0,18092.0,21506.0,153436.0,0.8711020735989486,17409.5,18535.75,19723.5,va,southeast,Fair,Cheap,Very_Large
"newport, ri",59277.5,58702.5,59852.5,5167.5,4592.5,5742.5,64445.0,0.9200070840660921,18479.0,20266.75,22130.0,ri,northeast,High,Moderate,Small
"newton, ga",74288.0,73067.0,75509.0,16056.5,14835.5,17277.5,90344.5,0.8220031033323756,19799.0,21563.75,23412.0,ga,southeast,Very_Low,Expensive,Medium
"nez perce, id",27635.5,27234.5,28036.5,4239.5,3838.5,4640.5,31875.0,0.867039706344321,17589.0,18912.75,20368.75,id,west,Fair,Moderate,Very_Small
"niagara, ny",160345.0,159113.5,161576.5,13715.0,12483.5,14946.5,174060.0,0.9213883738923263,16362.02777777778,18156.166666666668,20097.25,ny,northeast,High,Cheap,Very_Large
"nicholas, wv",18035.5,17765.5,18305.5,2676.0,2406.0,2946.0,20711.5,0.8717257607778943,12324.0,13695.5,15158.5,wv,southeast,Fair,Very_Cheap,Very_Small
"nicollet, mn",24811.0,24637.5,24984.5,1486.0,1312.5,1659.5,26297.0,0.9435454854080976,19067.0,20314.0,21643.0,mn,midwest,Very_High,Moderate,Very_Small
"noble, in",34069.0,33531.0,34607.0,6204.0,5666.0,6742.0,40273.0,0.8461107879635488,17790.0,19915.0,22262.666666666668,in,midwest,Low,Moderate,Small
"noble, ok",7955.5,7818.0,8093.0,1476.0,1338.5,1613.5,9431.5,0.8435058315502795,13245.0,15286.5,17572.0,ok,southwest,Low,Very_Cheap,Very_Small
"nobles, mn",15687.0,15448.0,15926.0,2350.0,2111.0,2589.0,18037.0,0.8696846044675199,15831.666666666666,17837.666666666668,19959.666666666668,mn,midwest,Fair,Cheap,Very_Small
"nodaway, mo",14427.5,14186.0,14669.0,2085.5,1844.0,2327.0,16513.0,0.8740024069775638,15783.666666666666,17541.666666666668,19405.666666666668,mo,midwest,Fair,Cheap,Very_Small
"nolan, tx",9682.5,9467.0,9898.0,2535.5,2320.0,2751.0,12218.0,0.7924470994467894,14284.5,16000.5,17745.0,tx,southwest,Very_Low,Very_Cheap,Very_Small
"nome, ak",6525.5,6351.5,6699.5,2375.5,2201.5,2549.5,8901.0,0.7331258560679152,11791.0,14316.0,16851.0,ak,west,Very_Low,Very_Cheap,Very_Small
"northumberland, pa",65207.5,64563.5,65851.5,7174.0,6530.0,7818.0,72381.5,0.9011501921381895,14462.0,16310.0,18331.5,pa,northeast,Fair,Very_Cheap,Small
"norton city, va",2993.0,2941.5,3044.5,400.0,348.5,451.5,3393.0,0.8822213161469139,14290.0,15710.5,17260.5,va,southeast,Fair,Very_Cheap,Very_Small
"norton, ks",3301.5,3252.0,3351.0,452.5,403.0,502.0,3754.0,0.8797582267015189,12624.0,15410.0,18200.0,ks,midwest,Fair,Very_Cheap,Very_Small
"nowata, ok",6628.5,6478.5,6778.5,1806.5,1656.5,1956.5,8435.0,0.7858959566462507,16575.0,19894.0,23192.0,ok,southwest,Very_Low,Moderate,Very_Small
"nuckolls, ne",2807.5,2764.0,2851.0,392.5,349.0,436.0,3200.0,0.8776833055122311,18442.333333333332,20976.333333333332,23776.333333333332,ne,midwest,Fair,Expensive,Very_Small
"nye, nv",24619.5,24104.0,25135.0,5707.0,5191.5,6222.5,30326.5,0.8124642489811453,16236.333333333334,18452.333333333332,20897.333333333332,nv,west,Very_Low,Cheap,Very_Small
"obion, tn",21115.0,20765.0,21465.0,3656.5,3306.5,4006.5,24771.5,0.8527033458654423,17758.333333333332,19433.0,21283.0,tn,southeast,Low,Moderate,Very_Small
"oceana, mi",18010.5,17741.5,18279.5,3014.0,2745.0,3283.0,21024.5,0.857020673863789,12461.5,14368.5,16457.0,mi,midwest,Low,Very_Cheap,Very_Small
"oconee, sc",48948.0,48120.5,49775.5,9780.0,8952.5,10607.5,58728.0,0.833554947888415,19095.0,20565.0,22140.75,sc,southeast,Low,Expensive,Small
"oconto, wi",27593.0,27334.5,27851.5,2731.5,2473.0,2990.0,30324.5,0.9100154017473705,14411.0,16708.5,19170.0,wi,midwest,High,Very_Cheap,Very_Small
"ogemaw, mi",13936.5,13742.5,14130.5,1977.0,1783.0,2171.0,15913.5,0.8763079481782261,17412.75,18870.5,20404.5,mi,midwest,Fair,Moderate,Very_Small
